,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type,vip_info
0,170,34,https://pic2.zhimg.com/v2-b9d9f5b70087d8411a46acc10571d375_is.jpg,https://pic2.zhimg.com/v2-b9d9f5b70087d8411a46acc10571d375_{size}.jpg,[],3133,1,推动中国科研体制进步，从状告无良导师做起。我来打头阵！,309852e9ad18d42ac266727e6a922c07,False,False,False,False,教无良导师做人,people,https://www.zhihu.com/people/309852e9ad18d42ac266727e6a922c07,long-ma-46-16,people,{'is_vip': False}
1,303,35,https://pic2.zhimg.com/2d7543258729a53a9de0eb9e369fa8f9_is.jpg,https://pic2.zhimg.com/2d7543258729a53a9de0eb9e369fa8f9_{size}.jpg,"[{'type': 'best_answerer', 'description': '优秀回答者', 'topics': [{'id': '19554091', 'avatar_url': 'https://pic1.zhimg.com/3dc1abe04_is.jpg', 'type': 'topic', 'name': '数学', 'introduction': '数学（mathematics，源自希腊语 μάθημα（máthēma）；经常被缩写为 math 或 maths），是研究数量、结构、变化、空间以及信息等概念的一门学科。从某种角度看，属于形式科学的一种。数学家和哲学家对数学的确切范围和定义有一系列的看法。而在人类历史发展和社会生活中，数学也发挥着不可替代的作用。数学也是学习和研究现代自然科学、技术与社会科学必不可少的基本工具。', 'url': 'https://www.zhihu.com/topics/19554091', 'excerpt': '数学（mathematics，源自希腊语 μάθημα（máthēma）；经常被缩写为 math 或 maths），是研究数量、结构、变化、空间以及信息等概念的一门学科。从某种角度看，属于形式科学的一种。数学家和哲学家对数学的确切范围和定义有一系列的看法。而在人类历史发展和社会生活中，数学也发挥着不可替代的作用。数学也是学习和研究现代自然科学、技术与社会科学必不可少的基本工具。'}]}]",9324,1,二次元学术宅,0d55949a9c0208f011c99a44238d65d2,False,False,False,False,等待飞翔,people,https://www.zhihu.com/people/0d55949a9c0208f011c99a44238d65d2,deng-dai-fei-xiang-63,people,"{'vip_icon': {'night_mode_url': 'https://pic3.zhimg.com/50/v2-c9686ff064ea3579730756ac6c289978_r.png', 'url': 'https://pic2.zhimg.com/50/v2-034fefe15c83232cb448718998719d34_r.png'}, 'is_vip': True}"
2,571,0,https://pic4.zhimg.com/c9001eb5bd12682844a5f3359b6b7b13_is.jpg,https://pic4.zhimg.com/c9001eb5bd12682844a5f3359b6b7b13_{size}.jpg,[],4302,1,化学PhD,ac0a27ec367935c31e1168b69b65cd26,False,False,False,False,Grenadier,people,https://www.zhihu.com/people/ac0a27ec367935c31e1168b69b65cd26,grenadier,people,{'is_vip': False}
3,12,1,https://pic1.zhimg.com/v2-3d0001c45d23707c48a573e6fb4c451c_is.jpg,https://pic1.zhimg.com/v2-3d0001c45d23707c48a573e6fb4c451c_{size}.jpg,[],3407,0,怕什么真理无穷，进一寸有进一寸的欢喜,52e3150da0dd6da40c6308171c58fa63,False,False,False,False,Ruixi Zhang,people,https://www.zhihu.com/people/52e3150da0dd6da40c6308171c58fa63,zhang-rui-xi-57,people,{'is_vip': False}
4,198,0,https://pic3.zhimg.com/v2-69d47a4564dc5ab8a7d971dbbf27d5d2_is.jpg,https://pic3.zhimg.com/v2-69d47a4564dc5ab8a7d971dbbf27d5d2_{size}.jpg,"[{'description': '南洋理工大学 微电子博士', 'type': 'identity'}]",564,1,"My heart is not cold, but broken.",f555fb78b64105c863e43c0eaccc658e,False,False,False,False,多克特梨,people,https://www.zhihu.com/people/f555fb78b64105c863e43c0eaccc658e,dr_li,people,{'is_vip': False}
5,196,4,https://pic4.zhimg.com/37b11a4b94aa3dafbb32717c957a358f_is.jpg,https://pic4.zhimg.com/37b11a4b94aa3dafbb32717c957a358f_{size}.jpg,"[{'type': 'best_answerer', 'description': '优秀回答者', 'topics': [{'id': '19560496', 'avatar_url': 'https://pic2.zhimg.com/5d2768ee3e24ef3a843d6098473b0ab9_is.jpg', 'type': 'topic', 'name': '流体力学', 'introduction': '力学的一个分支，主要研究在各种力的作用下，流体本身的静止状态和运动状态以及流体和固体界壁间有相对运动时的相互作用和流动规律。', 'url': 'https://www.zhihu.com/topics/19560496', 'excerpt': '力学的一个分支，主要研究在各种力的作用下，流体本身的静止状态和运动状态以及流体和固体界壁间有相对运动时的相互作用和流动规律。'}]}]",5746,0,"Look hard, think harder.",8a2af01bc96d90ae7d288e2dc396b430,False,False,False,False,Jennyfool,people,https://www.zhihu.com/people/8a2af01bc96d90ae7d288e2dc396b430,jennyfool,people,"{'vip_icon': {'night_mode_url': 'https://pic3.zhimg.com/50/v2-c9686ff064ea3579730756ac6c289978_r.png', 'url': 'https://pic2.zhimg.com/50/v2-034fefe15c83232cb448718998719d34_r.png'}, 'is_vip': True}"
6,285,60,https://pic4.zhimg.com/v2-381c7b636c50991ba94163c7b4739aa7_is.jpg,https://pic4.zhimg.com/v2-381c7b636c50991ba94163c7b4739aa7_{size}.jpg,[],58809,0,(๑•̀ㅂ•́) ✧公众号：萌酥种草机,9b5407838fcee7db79111c55e51bedbf,False,False,False,False,萌酥,people,https://www.zhihu.com/people/9b5407838fcee7db79111c55e51bedbf,liu-su-46-13,people,{'is_vip': False}
7,161,14,https://pic1.zhimg.com/v2-6c1486e82bfca7d93c132b842dfec2c4_is.jpg,https://pic1.zhimg.com/v2-6c1486e82bfca7d93c132b842dfec2c4_{size}.jpg,[],91,1,最后一曲华沙奏响，他们永不再老去……,736a7163ea3ae380b75a9033923a06bf,False,False,False,False,明天,people,https://www.zhihu.com/people/736a7163ea3ae380b75a9033923a06bf,ming-tian-68-58-79,people,{'is_vip': False}
8,36,6,https://pic3.zhimg.com/v2-2f3f5660ac5bd8d847ff118acf99346e_is.jpg,https://pic3.zhimg.com/v2-2f3f5660ac5bd8d847ff118acf99346e_{size}.jpg,[],3429,1,失败群：bit.ly/2HjYgz8      微博：@狗食,624ad4ec3e4360ddcfb84eae21ddb2a8,False,False,False,False,立党,people,https://www.zhihu.com/people/624ad4ec3e4360ddcfb84eae21ddb2a8,dang.xinran,people,{'is_vip': False}
9,92,13,https://pic4.zhimg.com/v2-5610df4c0dbec3382ce798634e7d6027_is.jpg,https://pic4.zhimg.com/v2-5610df4c0dbec3382ce798634e7d6027_{size}.jpg,"[{'description': '加州大学伯克利分校 理论化学博士在读', 'type': 'identity'}, {'type': 'best_answerer', 'description': '优秀回答者', 'topics': [{'id': '19556950', 'avatar_url': 'https://pic3.zhimg.com/7a7dfc72e_is.jpg', 'type': 'topic', 'name': '物理学', 'introduction': '物理学（physics）是一门自然科学，主要研究的是时空中的物质及其运动，注重于物质、能量、时空（时间/空间）三者各自的性质与彼此之间的相互关系。更广义地说，物理学探索分析大自然所发生的现象，目的是要了解其规则。<br><br>作为自然科学的带头学科，物理学研究大至宇宙，小至基本粒子等一切物质最基本的运动形式和规律，因此成为其他各自然科学学科的研究基础。它的理论结构充分地运用数学作为自己的工作语言，以实验作为检验理论正确性的唯一标准，它是当今最精密的一门自然科学学科。', 'url': 'https://www.zhihu.com/topics/19556950', 'excerpt': '物理学（physics）是一门自然科学，主要研究的是时空中的物质及其运动，注重于物质、能量、时空（时间/空间）三者各自的性质与彼此之间的相互关系。更广义地说，物理学探索分析大自然所发生的现象，目的是要了解其规则。 作为自然科学的带头学科，物理学研究大至宇宙，小至基本粒子等一切物质最基本的运动形式和规律，因此成为其他各自然科学学科的研究基础。它的理论结构充分地运用数学作为自己的工作语言，以实验作为检验理论…'}]}]",5543,1,复杂系统/统计物理/机器预习业余爱好者,37706a3c85c04303a42011fd2413b36b,False,False,False,False,董玉龙,people,https://www.zhihu.com/people/37706a3c85c04303a42011fd2413b36b,dong-yu-long-37,people,{'is_vip': False}
